,CL
2022-08-09 11:00:00,1841.402781632073
2022-08-09 11:30:00,1696.3285885698042
2022-08-09 12:00:00,1753.1362678419111
2022-08-09 12:30:00,1740.967397497868
2022-08-09 13:00:00,1891.3269235143591
2022-08-09 13:30:00,1701.8468316747228
2022-08-09 14:00:00,1702.376508672164
2022-08-09 14:30:00,1728.4619690076777
2022-08-09 15:00:00,1709.334386693205
2022-08-09 15:30:00,1796.0713181688943
2022-08-09 16:00:00,1678.7552496445835
2022-08-09 16:30:00,1728.2743303952236
2022-08-09 17:00:00,1688.030673016776
2022-08-09 17:30:00,1821.5409664486783
2022-08-09 18:00:00,1654.6425561558146
2022-08-09 18:30:00,1654.3839127096958
2022-08-09 19:00:00,1768.2270585726474
2022-08-09 19:30:00,1520.9409309070231
2022-08-09 20:00:00,1516.7097099800965
2022-08-09 20:30:00,1517.9542007392663
2022-08-09 21:00:00,1535.9078205857263
2022-08-09 21:30:00,1471.6149690076772
2022-08-09 22:00:00,1249.8460247369917
2022-08-09 22:30:00,1194.399708274097
2022-08-09 23:00:00,879.6731657662783
2022-08-09 23:30:00,583.3983491612171
2022-08-10 00:00:00,438.2585123684961
2022-08-10 00:30:00,498.8918748933752
2022-08-10 01:00:00,627.0088984930338
2022-08-10 01:30:00,528.9505083878305
2022-08-10 02:00:00,528.6369434176854
2022-08-10 02:30:00,499.7413119135625
2022-08-10 03:00:00,528.659340915553
2022-08-10 03:30:00,528.1889934603355
2022-08-10 04:00:00,479.1839829400058
2022-08-10 04:30:00,616.0334097241969
2022-08-10 05:00:00,599.7967725334092
2022-08-10 05:30:00,571.4933642308786
2022-08-10 06:00:00,542.7218720500426
2022-08-10 06:30:00,529.9940173443276
2022-08-10 07:00:00,634.4746516917828
2022-08-10 07:30:00,794.3165396644868
2022-08-10 08:00:00,1619.0326789877738
2022-08-10 08:30:00,1888.3102903042368
2022-08-10 09:00:00,2094.1147031560986
2022-08-10 09:30:00,1734.4113639465454
2022-08-10 10:00:00,1780.9632527722492
2022-08-10 10:30:00,1837.2341069092977
2022-08-10 11:00:00,2016.963424225192
2022-08-10 11:30:00,1819.040667045778
2022-08-10 12:00:00,1817.6418956497016
2022-08-10 12:30:00,1846.9794011942
2022-08-10 13:00:00,1795.0406758601084
2022-08-10 13:30:00,1804.339449815184
2022-08-10 14:00:00,1864.0529661643443
2022-08-10 14:30:00,1907.8506775661076
2022-08-10 15:00:00,1767.553346602218
2022-08-10 15:30:00,1825.2633591128804
2022-08-10 16:00:00,1999.113452374183
2022-08-10 16:30:00,1722.5528419107195
2022-08-10 17:00:00,1735.9728746090425
2022-08-10 17:30:00,1735.8555260164917
2022-08-10 18:00:00,1791.8566570941143
2022-08-10 18:30:00,1685.0116570941143
2022-08-10 19:00:00,1716.340514643162
2022-08-10 19:30:00,1727.6053838498726
2022-08-10 20:00:00,1445.2054597668468
2022-08-10 20:30:00,1494.3741626386125
2022-08-10 21:00:00,1491.28712027296
2022-08-10 21:30:00,1407.503084446972
2022-08-10 22:00:00,1225.047943986352
2022-08-10 22:30:00,1005.7810861529716
2022-08-10 23:00:00,959.6727392664204
2022-08-10 23:30:00,726.3961273812909
2022-08-11 00:00:00,399.2262260449248
2022-08-11 00:30:00,492.6196224054594
2022-08-11 01:00:00,493.563772249076
2022-08-11 01:30:00,493.6015382428207
2022-08-11 02:00:00,494.9233480238841
2022-08-11 02:30:00,492.4307924367359
2022-08-11 03:00:00,461.4604139891954
2022-08-11 03:30:00,462.0994574921809
2022-08-11 04:00:00,492.2793710548763
2022-08-11 04:30:00,494.51459368780206
2022-08-11 05:00:00,495.7648029570658
2022-08-11 05:30:00,495.12075575774816
2022-08-11 06:00:00,461.495916406028
2022-08-11 06:30:00,467.8508490190505
2022-08-11 07:00:00,532.0506556724481
2022-08-11 07:30:00,644.6076133067957
2022-08-11 08:00:00,738.1530267273246
2022-08-11 08:30:00,1316.717686096105
2022-08-11 09:00:00,2304.84978220074
2022-08-11 09:30:00,2080.408983224339
2022-08-11 10:00:00,2083.285751208416
2022-08-11 10:30:00,1947.5424987205004
2022-08-11 11:00:00,1961.353653682116
2022-08-11 11:30:00,1769.814064259312
2022-08-11 12:00:00,1560.1244003412
2022-08-11 12:30:00,1616.3863193062273
2022-08-11 13:00:00,1903.791011941996
2022-08-11 13:30:00,1563.6293704862098
2022-08-11 14:00:00,1656.178095251635
2022-08-11 14:30:00,1701.8420662496449
2022-08-11 15:00:00,1737.869037247655
2022-08-11 15:30:00,1606.8372413989196
2022-08-11 16:00:00,1681.566254762582
2022-08-11 16:30:00,1788.4410386693207
2022-08-11 17:00:00,1503.99484105772
2022-08-11 17:30:00,1600.0896377594545
2022-08-11 18:00:00,1684.2223835655388
2022-08-11 18:30:00,1380.2590301393234
2022-08-11 19:00:00,1379.5628015353996
2022-08-11 19:30:00,1407.004263576912
